,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,NOX_GT,PT08_S3_NOX,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,HOUR,MONTH
17,1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,3
18,2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,3
19,2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,3
20,2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,3
21,2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17,3
22,4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,3
23,6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,19,3
24,6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20,3
25,3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21,3
26,1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22,3
27,1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23,3
28,1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0,3
29,1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1,3
30,1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2,3
31,0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,5,3
32,0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6,3
33,1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7,3
34,4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8,3
35,3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,10,3
36,2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11,3
37,2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12,3
38,2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13,3
39,2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14,3
40,2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15,3
41,2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16,3
42,2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17,3
43,3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18,3
44,3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19,3
45,6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,20,3
46,4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21,3
47,3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22,3
48,5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23,3
49,2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0,3
50,1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1,3
51,1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2,3
52,1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,5,3
53,1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6,3
54,1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7,3
55,2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8,3
56,3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9,3
57,3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10,3
58,4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11,3
59,3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12,3
60,2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13,3
61,2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14,3
62,2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15,3
63,2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16,3
64,2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17,3
65,3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18,3
66,4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19,3
67,4.2,1611.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20,3
68,4.2,1621.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21,3
69,3.1,1444.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22,3
70,2.6,1418.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23,3
71,2.9,1534.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0,3
72,2.8,1484.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1,3
73,2.5,1367.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2,3
74,1.2,1062.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,5,3
75,1.0,1076.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6,3
76,0.9,1028.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7,3
77,1.4,1155.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8,3
78,1.6,1235.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,9,3
79,2.2,1332.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,10,3
80,2.8,1445.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,11,3
81,2.8,1416.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,12,3
82,2.0,1281.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,13,3
83,1.8,1207.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,14,3
84,1.9,1258.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,15,3
85,3.0,1458.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,16,3
86,2.9,1438.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,17,3
87,2.5,1478.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,18,3
88,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,19,3
89,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,20,3
90,3.4,1560.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,21,3
91,2.1,1324.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,22,3
92,2.2,1349.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,23,3
93,1.8,1239.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,0,3
94,1.8,1239.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,1,3
95,1.8,1224.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,2,3
96,1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,5,3
97,1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,6,3
98,2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,7,3
99,5.5,1797.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,8,3
100,8.1,1961.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,9,3
101,5.8,1771.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,10,3
102,4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,11,3
103,3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,12,3
104,2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,13,3
105,2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,14,3
106,2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,15,3
107,2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,16,3
108,2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,17,3
109,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,18,3
110,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,19,3
111,6.5,1895.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,20,3
112,4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,21,3
113,3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,22,3
114,1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,23,3
115,2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,0,3
116,1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,1,3
117,0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,2,3
118,0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,5,3
119,0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,6,3
120,1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,7,3
121,3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,8,3
122,3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,9,3
123,5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,10,3
124,4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,11,3
125,3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,12,3
126,4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,13,3
127,3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,14,3
128,2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,15,3
129,2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,16,3
130,2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,17,3
131,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,18,3
132,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,19,3
133,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,20,3
134,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,21,3
135,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,22,3
136,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,23,3
137,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,0,3
138,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,1,3
139,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,2,3
140,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,5,3
141,0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,6,3
142,1.6,1173.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,7,3
143,4.1,1587.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,8,3
144,6.6,1852.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,9,3
145,4.3,1522.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,10,3
146,2.9,1438.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,11,3
147,2.5,1393.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,12,3
148,2.8,1452.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,13,3
149,2.6,1389.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,14,3
150,2.0,1207.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,15,3
151,2.9,1365.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,16,3
152,2.5,1247.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,17,3
153,5.0,1557.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,18,3
154,7.6,1973.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403,19,3
155,6.7,1975.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133,20,3
156,5.7,1795.0,27.2,1485.0,336.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294,21,3
157,2.8,1444.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,22,3
158,2.6,1488.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,23,3
159,2.3,1371.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,0,3
160,1.4,1161.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,1,3
161,1.0,1064.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,2,3
162,0.6,931.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,5,3
163,0.7,938.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,6,3
164,1.5,1166.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,7,3
165,4.7,1643.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,8,3
166,6.6,1934.0,35.8,1682.0,421.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186,9,3
167,2.3,1076.0,11.6,1034.0,150.0,964.0,101.0,1544.0,813.0,21.3,24.2,0.606,16,3
168,2.6,1152.0,12.4,1062.0,138.0,928.0,103.0,1606.0,850.0,20.2,28.5,0.6682,17,3
169,3.8,1407.0,18.3,1249.0,213.0,720.0,129.0,1932.0,1276.0,17.0,43.1,0.8264,18,3
170,4.4,1438.0,21.0,1325.0,232.0,678.0,143.0,1993.0,1401.0,15.6,47.4,0.8347,19,3
171,4.5,1425.0,21.0,1325.0,238.0,678.0,146.0,1965.0,1356.0,15.3,47.4,0.8178,20,3
172,3.3,1279.0,14.5,1131.0,180.0,775.0,124.0,1758.0,1243.0,14.5,49.7,0.8177,21,3
173,2.0,1132.0,8.4,916.0,128.0,920.0,113.0,1561.0,1083.0,13.9,52.0,0.8231,22,3
174,1.1,1006.0,4.3,729.0,65.0,1142.0,80.0,1370.0,795.0,14.5,49.4,0.8106,23,3
175,0.9,982.0,3.8,700.0,53.0,1204.0,72.0,1359.0,735.0,13.8,51.4,0.8071,0,3
176,0.8,969.0,2.7,636.0,47.0,1271.0,64.0,1309.0,684.0,14.0,51.3,0.8163,1,3
177,0.7,941.0,2.5,621.0,51.0,1298.0,70.0,1330.0,714.0,13.0,56.8,0.8444,2,3
178,0.3,834.0,0.6,459.0,13.0,1908.0,22.0,1212.0,361.0,8.8,80.5,0.9147,5,3
179,0.5,909.0,1.8,567.0,33.0,1542.0,47.0,1287.0,418.0,9.6,75.4,0.9004,6,3
180,1.1,1061.0,4.6,745.0,103.0,1178.0,88.0,1429.0,616.0,9.8,75.0,0.9093,7,3
181,3.0,1441.0,14.2,1124.0,224.0,851.0,130.0,1829.0,1089.0,10.0,74.2,0.9117,8,3
182,3.8,1498.0,21.0,1325.0,244.0,684.0,132.0,2095.0,1329.0,11.2,69.7,0.9232,9,3
183,3.4,1343.0,16.2,1185.0,237.0,760.0,132.0,1857.0,1311.0,12.0,62.9,0.8803,10,3
184,3.0,1308.0,15.5,1166.0,220.0,792.0,131.0,1794.0,1236.0,12.8,55.8,0.821,11,3
185,2.7,1209.0,13.4,1097.0,207.0,837.0,129.0,1746.0,1147.0,13.1,54.8,0.8234,12,3
186,3.5,1310.0,16.9,1207.0,208.0,770.0,132.0,1847.0,1301.0,13.8,53.4,0.8351,13,3
187,2.8,1171.0,12.4,1064.0,160.0,881.0,110.0,1639.0,1097.0,16.0,42.4,0.7674,14,3
188,1.9,1112.0,10.1,980.0,131.0,924.0,99.0,1589.0,900.0,14.1,49.8,0.7971,15,3
189,2.0,1132.0,8.7,927.0,128.0,944.0,100.0,1570.0,781.0,12.0,61.1,0.8537,16,3
190,3.0,1225.0,13.8,1111.0,176.0,818.0,122.0,1719.0,1013.0,13.6,54.6,0.8465,17,3
191,1.9,1065.0,9.3,953.0,107.0,962.0,97.0,1514.0,790.0,13.7,49.5,0.7695,18,3
192,2.7,1236.0,13.0,1084.0,131.0,854.0,112.0,1688.0,1059.0,11.7,57.1,0.7822,19,3
193,3.3,1309.0,14.3,1126.0,166.0,812.0,128.0,1722.0,1205.0,11.5,58.2,0.7867,20,3
194,1.7,1089.0,7.6,884.0,89.0,1006.0,101.0,1487.0,975.0,12.6,54.2,0.7881,21,3
195,1.3,1000.0,5.3,776.0,81.0,1141.0,96.0,1375.0,896.0,12.0,54.9,0.7664,22,3
196,1.3,1041.0,5.4,782.0,78.0,1105.0,86.0,1425.0,911.0,11.0,61.4,0.8057,23,3
197,1.2,1045.0,4.9,756.0,70.0,1137.0,85.0,1411.0,902.0,11.1,62.2,0.8199,0,3
198,1.1,997.0,4.6,744.0,76.0,1151.0,79.0,1405.0,832.0,10.8,62.5,0.8082,1,3
199,0.9,948.0,2.7,634.0,43.0,1320.0,61.0,1326.0,715.0,11.3,60.0,0.8025,2,3
200,0.6,892.0,1.2,522.0,34.0,1572.0,54.0,1255.0,648.0,10.9,58.6,0.7628,5,3
201,0.8,954.0,1.7,561.0,43.0,1496.0,57.0,1255.0,612.0,10.8,57.2,0.7382,6,3
202,1.2,1045.0,4.8,751.0,79.0,1186.0,75.0,1403.0,800.0,10.4,59.2,0.7455,7,3
203,3.1,1383.0,13.8,1109.0,174.0,832.0,97.0,1706.0,1173.0,11.0,57.3,0.7501,8,3
204,4.4,1597.0,23.7,1395.0,235.0,652.0,110.0,2080.0,1519.0,11.2,56.9,0.7565,9,3
205,3.4,1318.0,14.2,1124.0,218.0,762.0,113.0,1770.0,1287.0,12.1,54.9,0.7734,10,3
206,1.7,1138.0,8.0,898.0,136.0,950.0,88.0,1505.0,966.0,15.1,44.3,0.7535,11,3
207,1.5,1098.0,6.7,842.0,117.0,1012.0,85.0,1440.0,828.0,15.6,40.6,0.7146,12,3
208,1.7,1118.0,8.7,927.0,119.0,959.0,96.0,1477.0,825.0,16.9,34.6,0.6597,13,3
209,2.2,1170.0,10.8,1009.0,126.0,879.0,106.0,1566.0,872.0,16.6,35.6,0.6697,14,3
210,2.7,1390.0,11.4,1028.0,197.0,829.0,126.0,1730.0,1002.0,9.6,81.1,0.972,16,3
211,2.8,1353.0,13.4,1096.0,195.0,774.0,130.0,1783.0,1159.0,11.7,69.1,0.9497,17,3
212,2.7,1260.0,12.0,1050.0,156.0,828.0,111.0,1722.0,979.0,10.7,68.5,0.8794,18,3
213,4.5,1501.0,20.2,1302.0,247.0,681.0,134.0,2008.0,1311.0,10.7,67.3,0.8643,19,3
214,3.5,1273.0,14.4,1130.0,190.0,795.0,136.0,1744.0,1071.0,10.8,65.7,0.8486,20,3
215,2.6,1179.0,9.4,955.0,169.0,928.0,125.0,1571.0,899.0,10.3,66.3,0.8336,21,3
216,1.7,1047.0,5.9,809.0,118.0,1064.0,108.0,1435.0,766.0,10.1,66.9,0.8248,22,3
217,1.3,973.0,4.5,739.0,81.0,1186.0,87.0,1354.0,589.0,10.4,61.1,0.7717,23,3
218,1.3,997.0,4.5,737.0,80.0,1168.0,89.0,1341.0,631.0,10.3,59.9,0.7516,0,3
219,1.0,970.0,2.5,621.0,42.0,1400.0,58.0,1249.0,479.0,11.0,58.4,0.7686,1,3
220,0.7,902.0,1.8,568.0,38.0,1450.0,54.0,1253.0,479.0,9.1,68.1,0.789,2,3
221,0.5,858.0,0.9,490.0,18.0,1707.0,28.0,1212.0,378.0,9.3,72.3,0.8496,4,3
222,0.5,878.0,0.6,457.0,12.0,1935.0,20.0,1158.0,344.0,9.9,66.8,0.8152,5,3
223,0.6,893.0,1.4,540.0,43.0,1604.0,51.0,1268.0,413.0,7.6,83.2,0.8695,6,3
224,1.1,1038.0,3.8,697.0,84.0,1260.0,82.0,1383.0,605.0,8.1,79.0,0.8544,7,3
225,2.7,1320.0,11.6,1035.0,184.0,902.0,112.0,1721.0,991.0,8.7,74.6,0.8429,8,3
226,3.5,1353.0,17.8,1235.0,202.0,740.0,119.0,1937.0,1175.0,8.6,75.1,0.8415,9,3
227,2.3,1133.0,8.8,933.0,133.0,969.0,99.0,1552.0,923.0,9.7,69.7,0.8389,10,3
228,1.6,1066.0,6.8,849.0,130.0,1039.0,98.0,1468.0,829.0,11.0,64.4,0.8447,11,3
229,1.3,1027.0,5.9,809.0,106.0,1081.0,88.0,1442.0,733.0,13.6,53.0,0.8209,12,3
230,2.0,1106.0,8.9,935.0,132.0,958.0,96.0,1570.0,819.0,14.2,48.4,0.778,13,3
231,1.9,1038.0,8.2,907.0,106.0,976.0,81.0,1492.0,723.0,14.2,46.3,0.7438,14,3
232,1.9,1084.0,8.6,924.0,125.0,986.0,92.0,1501.0,786.0,16.0,41.3,0.7462,15,3
233,2.2,1105.0,10.1,982.0,138.0,939.0,105.0,1545.0,850.0,17.7,35.4,0.7094,16,3
234,2.0,1102.0,9.4,957.0,120.0,968.0,88.0,1527.0,820.0,17.1,37.4,0.7225,17,3
235,2.9,1240.0,14.6,1137.0,158.0,836.0,103.0,1748.0,991.0,14.9,40.5,0.6835,18,3
